id_partido,fase,equipo local,equipo visitante,goles local,goles visitante
1,grupos,RB Leipzig,Shakhtar Donetsk,1,4
2,grupos,Benfica,Maccabi Haifa,2,0
3,grupos,PSG,Juventus,2,1
4,grupos,Sevilla,Manchester City,0,4
5,grupos,Celtic,Real Madrid,0,3
6,grupos,Red Bull Salzburg,Milan,1,1
7,grupos,Borussia Dortmund,Kobenhavn,3,0
8,grupos,Dinamo Zagreb,Chelsea,1,0
9,grupos,Eintracht Frankfurt,Sporting de Portugal,0,3
10,grupos,Napoli,Liverpool,4,1
11,grupos,Atlético de Madrid,Porto,2,1
12,grupos,Brugge,Bayer Leverkusen,1,0
13,grupos,Barcelona,Viktoria Plzeň,5,1
14,grupos,Inter,Bayern München,0,2
15,grupos,Tottenham,Olympique de Marseille,2,0
16,grupos,Ajax,Rangers,4,0
17,grupos,Porto,Brugge,0,4
18,grupos,Olympique de Marseille,Eintracht Frankfurt,0,1
19,grupos,Bayern München,Barcelona,2,0
20,grupos,Bayer Leverkusen,Atlético de Madrid,2,0
21,grupos,Viktoria Plzeň,Inter,0,2
22,grupos,Sporting de Portugal,Tottenham,2,0
23,grupos,Liverpool,Ajax,2,1
24,grupos,Manchester City,Borussia Dortmund,2,1
25,grupos,Maccabi Haifa,PSG,1,3
26,grupos,Juventus,Benfica,1,2
27,grupos,Kobenhavn,Sevilla,0,0
28,grupos,Real Madrid,RB Leipzig,2,0
29,grupos,Chelsea,Red Bull Salzburg,1,1
30,grupos,Rangers,Napoli,0,3
31,grupos,Shakhtar Donetsk,Celtic,1,1
32,grupos,Milan,Dinamo Zagreb,3,1
33,grupos,Eintracht Frankfurt,Tottenham,0,0
34,grupos,Inter,Barcelona,1,0
35,grupos,Brugge,Atlético de Madrid,2,0
36,grupos,Porto,Bayer Leverkusen,2,0
37,grupos,Ajax,Napoli,1,6
38,grupos,Liverpool,Rangers,2,0
39,grupos,Olympique de Marseille,Sporting de Portugal,4,1
40,grupos,Bayern München,Viktoria Plzeň,5,0
41,grupos,RB Leipzig,Celtic,3,1
42,grupos,Chelsea,Milan,3,0
43,grupos,Manchester City,Kobenhavn,5,0
44,grupos,Sevilla,Borussia Dortmund,1,4
45,grupos,Juventus,Maccabi Haifa,3,1
46,grupos,Benfica,PSG,1,1
47,grupos,Real Madrid,Shakhtar Donetsk,2,1
48,grupos,Red Bull Salzburg,Dinamo Zagreb,1,0
49,grupos,Kobenhavn,Manchester City,0,0
50,grupos,Maccabi Haifa,Juventus,2,0
51,grupos,Milan,Chelsea,0,2
52,grupos,Shakhtar Donetsk,Real Madrid,1,1
53,grupos,Celtic,RB Leipzig,0,2
54,grupos,Borussia Dortmund,Sevilla,1,1
55,grupos,PSG,Benfica,1,1
56,grupos,Dinamo Zagreb,Red Bull Salzburg,1,1
57,grupos,Viktoria Plzeň,Bayern München,2,4
58,grupos,Atlético de Madrid,Brugge,0,0
59,grupos,Sporting de Portugal,Olympique de Marseille,0,2
60,grupos,Tottenham,Eintracht Frankfurt,3,2
61,grupos,Barcelona,Inter,3,3
62,grupos,Napoli,Ajax,4,2
63,grupos,Bayer Leverkusen,Porto,0,3
64,grupos,Rangers,Liverpool,1,7
65,grupos,Red Bull Salzburg,Chelsea,1,2
66,grupos,Sevilla,Kobenhavn,3,0
67,grupos,Dinamo Zagreb,Milan,0,4
68,grupos,Celtic,Shakhtar Donetsk,1,1
69,grupos,RB Leipzig,Real Madrid,3,2
70,grupos,Borussia Dortmund,Manchester City,0,0
71,grupos,PSG,Maccabi Haifa,7,2
72,grupos,Benfica,Juventus,4,3
73,grupos,Eintracht Frankfurt,Olympique de Marseille,2,1
74,grupos,Ajax,Liverpool,0,3
75,grupos,Tottenham,Sporting de Portugal,1,1
76,grupos,Barcelona,Bayern München,0,3
77,grupos,Atlético de Madrid,Bayer Leverkusen,2,2
78,grupos,Napoli,Rangers,3,0
79,grupos,Inter,Viktoria Plzeň,4,0
80,grupos,Brugge,Porto,0,4
81,grupos,Bayer Leverkusen,Brugge,0,0
82,grupos,Olympique de Marseille,Tottenham,1,2
83,grupos,Sporting de Portugal,Eintracht Frankfurt,1,2
84,grupos,Bayern München,Inter,2,0
85,grupos,Rangers,Ajax,1,3
86,grupos,Liverpool,Napoli,2,0
87,grupos,Viktoria Plzeň,Barcelona,2,4
88,grupos,Porto,Atlético de Madrid,2,1
89,grupos,Chelsea,Dinamo Zagreb,2,1
90,grupos,Maccabi Haifa,Benfica,1,6
91,grupos,Juventus,PSG,1,2
92,grupos,Kobenhavn,Borussia Dortmund,1,1
93,grupos,Manchester City,Sevilla,3,1
94,grupos,Milan,Red Bull Salzburg,4,0
95,grupos,Real Madrid,Celtic,5,1
96,grupos,Shakhtar Donetsk,RB Leipzig,0,4
97,octavos,Real Madrid,Liverpool,5,2
98,octavos,Borussia Dortmund,Chelsea,1,0
99,octavos,RB Leipzig,Manchester City,1,1
100,octavos,PSG,Bayern München,0,1
101,octavos,Milan,Tottenham,1,0
102,octavos,Eintracht Frankfurt,Napoli,0,2
103,octavos,Brugge,Benfica,0,2
104,octavos,Inter,Porto,1,0
105,octavos,Liverpool,Real Madrid,0,1
106,octavos,Chelsea,Borussia Dortmund,2,0
107,octavos,Manchester City,RB Leipzig,7,0
108,octavos,Bayern München,PSG,2,0
109,octavos,Tottenham,Milan,0,0
110,octavos,Napoli,Eintracht Frankfurt,3,0
111,octavos,Benfica,Brugge,5,1
112,octavos,Porto,Inter,0,0
113,cuartos,Real Madrid,Chelsea,2,0
114,cuartos,Manchester City,Bayern München,3,0
115,cuartos,Milan,Napoli,1,0
116,cuartos,Benfica,Inter,0,2
117,cuartos,Chelsea,Real Madrid,0,2
118,cuartos,Bayern München,Manchester City,1,1
119,cuartos,Napoli,Milan,1,1
120,cuartos,Inter,Benfica,3,3
121,semifinal,Real Madrid,Manchester City,1,1
122,semifinal,Milan,Inter,0,2
123,semifinal,Manchester City,Real Madrid,4,0
124,semifinal,Inter,Milan,1,0
125,final,Manchester City,Inter,1,0
